shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
50820,41.925654,12.572690,1,0
50820,41.924238,12.570243,2,257
50820,41.923669,12.567838,3,466
50820,41.923208,12.566915,4,558
50820,41.922205,12.565913,5,697
50820,41.920945,12.565176,6,850
50820,41.919980,12.564611,7,967
50820,41.918391,12.563755,8,1157
50820,41.916052,12.561482,9,1478
50820,41.915917,12.561350,10,1497
50820,41.914923,12.559902,11,1660
50820,41.914319,12.558415,12,1800
50820,41.913981,12.556475,13,1966
50820,41.914041,12.555629,14,2036
50820,41.914054,12.555456,15,2051
50820,41.915578,12.549855,16,2545
50820,41.915961,12.547784,17,2722
50820,41.915960,12.547618,18,2736
50820,41.915932,12.544717,19,2977
50820,41.915459,12.540750,20,3310
50820,41.914768,12.538980,21,3476
50820,41.914716,12.538846,22,3488
50820,41.911754,12.533640,23,4031
50820,41.911333,12.532888,24,4109
50820,41.910433,12.531684,25,4251
50820,41.910170,12.531166,26,4303
50820,41.910047,12.530686,27,4345
50820,41.910057,12.530327,28,4375
50820,41.910117,12.530183,29,4388
50820,41.910126,12.530161,30,4390
50820,41.911456,12.526496,31,4728
50820,41.912136,12.525430,32,4845
50820,41.912927,12.524534,33,4960
50820,41.913404,12.523476,34,5062
50820,41.913686,12.521955,35,5192
50820,41.913597,12.520957,36,5276
50820,41.913585,12.520822,37,5287
50820,41.913245,12.519449,38,5407
50820,41.912661,12.518281,39,5524
50820,41.911186,12.516680,40,5735
50820,41.909886,12.515495,41,5909
50820,41.909026,12.514265,42,6049
50820,41.908769,12.513410,43,6126
50820,41.908681,12.512210,44,6226
50820,41.908635,12.511583,45,6278
50820,41.908862,12.509172,46,6480
50820,41.908713,12.508361,47,6549
50820,41.907756,12.506765,48,6719
50820,41.906548,12.505700,49,6879
50820,41.906217,12.505502,50,6920
50820,41.905535,12.505094,51,7003
50820,41.904349,12.503977,52,7164
50820,41.903001,12.502447,53,7360
50820,41.900948,12.500176,54,7656
50820,41.899933,12.499053,55,7802
50820,41.896355,12.495209,56,8312
50820,41.895178,12.493917,57,8481
50820,41.895047,12.493818,58,8498
50820,41.893622,12.492743,59,8679
50820,41.892556,12.492188,60,8806
50820,41.891269,12.491551,61,8959
50820,41.890198,12.491021,62,9086
50820,41.889898,12.490885,63,9121
50820,41.888779,12.490359,64,9253
50820,41.885097,12.489388,65,9670
50820,41.884370,12.489095,66,9754
50820,41.883385,12.487873,67,9903
50820,41.879847,12.483484,68,10439
50820,41.877147,12.481711,69,10773
50820,41.876698,12.481529,70,10825
50820,41.875679,12.482065,71,10947
50820,41.874815,12.482519,72,11050
50820,41.872528,12.483573,73,11319
50820,41.869657,12.484279,74,11643
50820,41.868120,12.483993,75,11815
50820,41.866492,12.483136,76,12010
50820,41.859851,12.479643,77,12803
50820,41.858653,12.478998,78,12946
50820,41.855996,12.478361,79,13246
50820,41.855956,12.478354,80,13250
50820,41.853283,12.477869,81,13550
50820,41.852858,12.477792,82,13598
50820,41.850122,12.475996,83,13936
50820,41.848815,12.475552,84,14086
50820,41.848556,12.475465,85,14116
50820,41.847697,12.475101,86,14216
50820,41.846642,12.474203,87,14355
50820,41.844666,12.470969,88,14702
50820,41.841879,12.467914,89,15102
50820,41.840387,12.464782,90,15410
50820,41.839556,12.463526,91,15550
50820,41.839432,12.463338,92,15571
50820,41.837702,12.461254,93,15829
50820,41.836560,12.460507,94,15970
50820,41.835669,12.460371,95,16070
50820,41.833434,12.461275,96,16329
50820,41.832052,12.462317,97,16506
50820,41.830861,12.463650,98,16678
50820,41.830156,12.466014,99,16890
50820,41.828744,12.470753,100,17314
50820,41.828712,12.470903,101,17326
50820,41.827886,12.474769,102,17661
50820,41.827779,12.478284,103,17953
50820,41.827193,12.480632,104,18158
50819,41.827192,12.480638,1,0
50819,41.827779,12.478284,2,206
50819,41.827886,12.474769,3,498
50819,41.828705,12.470933,4,830
50819,41.828744,12.470753,5,845
50819,41.830158,12.466007,6,1270
50819,41.830861,12.463650,7,1481
50819,41.832052,12.462317,8,1653
50819,41.833434,12.461275,9,1830
50819,41.835669,12.460371,10,2089
50819,41.836560,12.460507,11,2189
50819,41.837702,12.461254,12,2330
50819,41.839432,12.463338,13,2588
50819,41.839561,12.463532,14,2610
50819,41.840387,12.464782,15,2749
50819,41.841879,12.467914,16,3057
50819,41.844666,12.470969,17,3457
50819,41.846642,12.474203,18,3804
50819,41.847697,12.475101,19,3943
50819,41.848556,12.475465,20,4043
50819,41.848820,12.475554,21,4074
50819,41.850122,12.475996,22,4223
50819,41.852858,12.477792,23,4561
50819,41.853283,12.477869,24,4609
50819,41.855996,12.478361,25,4913
50819,41.856004,12.478363,26,4914
50819,41.858653,12.478998,27,5213
50819,41.859851,12.479643,28,5356
50819,41.866497,12.483139,29,6150
50819,41.868120,12.483993,30,6344
50819,41.869657,12.484279,31,6516
50819,41.872528,12.483573,32,6840
50819,41.874815,12.482519,33,7109
50819,41.875679,12.482065,34,7212
50819,41.876698,12.481529,35,7334
50819,41.877147,12.481711,36,7386
50819,41.879847,12.483484,37,7720
50819,41.883387,12.487875,38,8256
50819,41.884370,12.489095,39,8405
50819,41.885097,12.489388,40,8489
50819,41.888779,12.490359,41,8906
50819,41.889898,12.490885,42,9038
50819,41.890198,12.491021,43,9073
50819,41.891241,12.491537,44,9197
50819,41.892556,12.492188,45,9352
50819,41.893622,12.492743,46,9480
50819,41.895051,12.493821,47,9662
50819,41.895178,12.493917,48,9678
50819,41.896355,12.495209,49,9847
50819,41.899933,12.499053,50,10357
50819,41.900958,12.500187,51,10504
50819,41.903001,12.502447,52,10799
50819,41.904349,12.503977,53,10995
50819,41.905535,12.505094,54,11156
50819,41.906185,12.505483,55,11235
50819,41.906548,12.505700,56,11280
50819,41.907756,12.506765,57,11440
50819,41.908713,12.508361,58,11610
50819,41.908862,12.509172,59,11679
50819,41.908635,12.511583,60,11881
50819,41.908680,12.512200,61,11932
50819,41.908769,12.513410,62,12033
50819,41.909026,12.514265,63,12110
50819,41.909886,12.515495,64,12250
50819,41.911186,12.516680,65,12424
50819,41.912661,12.518281,66,12635
50819,41.913245,12.519449,67,12752
50819,41.913585,12.520822,68,12872
50819,41.913588,12.520852,69,12874
50819,41.913597,12.520957,70,12883
50819,41.913686,12.521955,71,12967
50819,41.913404,12.523476,72,13097
50819,41.912927,12.524534,73,13199
50819,41.912136,12.525430,74,13314
50819,41.911456,12.526496,75,13431
50819,41.910126,12.530161,76,13769
50819,41.910082,12.530267,77,13779
50819,41.910057,12.530327,78,13784
50819,41.910047,12.530686,79,13814
50819,41.910170,12.531166,80,13856
50819,41.910433,12.531684,81,13908
50819,41.911333,12.532888,82,14050
50819,41.911754,12.533640,83,14128
50819,41.914716,12.538846,84,14671
50819,41.914779,12.539007,85,14686
50819,41.915459,12.540750,86,14849
50819,41.915932,12.544717,87,15182
50819,41.915960,12.547614,88,15423
50819,41.915961,12.547784,89,15437
50819,41.915578,12.549855,90,15614
50819,41.914054,12.555456,91,16108
50819,41.914039,12.555655,92,16125
50819,41.913981,12.556475,93,16193
50819,41.914319,12.558415,94,16359
50819,41.914923,12.559902,95,16499
50819,41.915917,12.561350,96,16662
50819,41.916014,12.561445,97,16676
50819,41.918391,12.563755,98,17002
50819,41.919980,12.564611,99,17192
50819,41.920938,12.565172,100,17308
50819,41.922205,12.565913,101,17462
50819,41.923208,12.566915,102,17601
50819,41.923669,12.567838,103,17693
50819,41.924238,12.570243,104,17902
50819,41.925659,12.572698,105,18160
