service_id,date,exception_type
1#30,20250815,1
1#30,20250817,1
1#30,20250824,1
1#30,20250831,1
1#30,20250907,1
1#50,20250811,1
1#50,20250812,1
1#50,20250813,1
1#50,20250814,1
1#50,20250816,1
1#50,20250818,1
1#50,20250819,1
1#50,20250820,1
1#50,20250821,1
1#50,20250822,1
1#50,20250823,1
1#50,20250825,1
1#50,20250826,1
1#50,20250827,1
1#50,20250828,1
1#50,20250829,1
1#50,20250830,1
1#50,20250906,1
0#35,20250804,1
0#35,20250805,1
0#35,20250806,1
0#35,20250807,1
0#35,20250808,1
0#33,20250809,1
0#36,20250810,1
1#43,20250815,1
1#43,20250817,1
1#43,20250824,1
1#43,20250831,1
1#40,20250811,1
1#40,20250812,1
1#40,20250813,1
1#40,20250814,1
1#40,20250816,1
1#40,20250818,1
1#40,20250819,1
1#40,20250820,1
1#40,20250821,1
1#40,20250822,1
1#40,20250823,1
1#40,20250825,1
1#40,20250826,1
1#40,20250827,1
1#40,20250828,1
1#40,20250829,1
1#40,20250830,1
0#47-3214,20250804,1
0#47-3214,20250805,1
0#47-3214,20250806,1
0#47-3214,20250807,1
0#47-3214,20250808,1
0#47-3214,20250809,1
0#47-3215,20250804,1
0#47-3215,20250805,1
0#47-3215,20250806,1
0#47-3215,20250807,1
0#47-3215,20250808,1
0#47-3215,20250809,1
0#47-3216,20250804,1
0#47-3216,20250805,1
0#47-3216,20250806,1
0#47-3216,20250807,1
0#47-3216,20250808,1
0#47-3216,20250809,1
0#47-3217,20250804,1
0#47-3217,20250805,1
0#47-3217,20250806,1
0#47-3217,20250807,1
0#47-3217,20250808,1
0#47-3217,20250809,1
0#47-3218,20250804,1
0#47-3218,20250805,1
0#47-3218,20250806,1
0#47-3218,20250807,1
0#47-3218,20250808,1
0#47-3218,20250809,1
0#47-3219,20250804,1
0#47-3219,20250805,1
0#47-3219,20250806,1
0#47-3219,20250807,1
0#47-3219,20250808,1
0#47-3219,20250809,1
0#47-3220,20250804,1
0#47-3220,20250805,1
0#47-3220,20250806,1
0#47-3220,20250807,1
0#47-3220,20250808,1
0#47-3220,20250809,1
0#50-3768,20250810,1
0#50-3769,20250810,1
0#50-3770,20250810,1
0#50-3771,20250810,1
0#50-3772,20250810,1
1#1,20250815,1
1#1,20250817,1
1#1,20250824,1
1#1,20250831,1
1#1,20250907,1
1#12,20250811,1
1#12,20250812,1
1#12,20250813,1
1#12,20250814,1
1#12,20250816,1
1#12,20250818,1
1#12,20250819,1
1#12,20250820,1
1#12,20250821,1
1#12,20250822,1
1#12,20250823,1
1#12,20250825,1
1#12,20250826,1
1#12,20250827,1
1#12,20250828,1
1#12,20250829,1
1#12,20250830,1
1#12,20250906,1
0#1,20250810,1
0#12-1657,20250808,1
0#12-1657,20250809,1
0#12-1658,20250808,1
0#12-1658,20250809,1
0#12-1661,20250808,1
0#12-1661,20250809,1
0#12-1662,20250808,1
0#12-1662,20250809,1
0#12-3312,20250804,1
0#12-3312,20250805,1
0#12-3312,20250806,1
0#12-3312,20250807,1
0#12-3313,20250804,1
0#12-3313,20250805,1
0#12-3313,20250806,1
0#12-3313,20250807,1
0#12-3314,20250804,1
0#12-3314,20250805,1
0#12-3314,20250806,1
0#12-3314,20250807,1
0#12-3315,20250804,1
0#12-3315,20250805,1
0#12-3315,20250806,1
0#12-3315,20250807,1
1#34,20250811,1
1#34,20250812,1
1#34,20250813,1
1#34,20250814,1
1#34,20250816,1
1#34,20250818,1
1#34,20250819,1
1#34,20250820,1
1#34,20250821,1
1#34,20250822,1
1#34,20250823,1
1#34,20250825,1
1#34,20250826,1
1#34,20250827,1
1#34,20250828,1
1#34,20250829,1
1#34,20250830,1
0#40,20250804,1
0#40,20250805,1
0#40,20250806,1
0#40,20250807,1
0#40,20250808,1
0#40,20250809,1
1#33,20250811,1
1#33,20250812,1
1#33,20250813,1
1#33,20250814,1
1#33,20250818,1
1#33,20250819,1
1#33,20250820,1
1#33,20250821,1
1#33,20250822,1
1#33,20250825,1
1#33,20250826,1
1#33,20250827,1
1#33,20250828,1
1#33,20250829,1
1#39,20250816,1
1#39,20250823,1
1#39,20250830,1
0#39,20250804,1
0#39,20250805,1
0#39,20250806,1
0#39,20250807,1
0#39,20250808,1
0#46,20250809,1
1000000088736,20250731,1
1000000088736,20250804,1
1000000088736,20250805,1
1000000088736,20250806,1
1000000088736,20250807,1
1000000088736,20250811,1
1000000088736,20250812,1
1000000088736,20250813,1
1000000088736,20250814,1
1000000088736,20250818,1
1000000088736,20250819,1
1000000088736,20250820,1
1000000088736,20250821,1
1000000088736,20250825,1
1000000088736,20250826,1
1000000088736,20250827,1
1000000088736,20250828,1
1000000087994,20250801,1
1000000087994,20250808,1
1000000087994,20250822,1
1000000087994,20250829,1
1000000087992,20250802,1
1000000087992,20250809,1
1000000087992,20250816,1
1000000087992,20250823,1
1000000087992,20250830,1
1000000086556,20250803,1
1000000086556,20250810,1
1000000086556,20250817,1
1000000086556,20250824,1
1000000086556,20250831,1
1000000086556,20250907,1
1000000086557,20250815,1
1000000088735,20250901,1
1000000088735,20250902,1
1000000088735,20250903,1
1000000088735,20250904,1
1000000088735,20250908,1
1000000088735,20250909,1
1000000088735,20250910,1
1000000088735,20250911,1
1000000087995,20250905,1
1000000087993,20250906,1
1000000088737,20250731,1
1000000088737,20250803,1
1000000088737,20250804,1
1000000088737,20250805,1
1000000088737,20250806,1
1000000088737,20250807,1
1000000088737,20250811,1
1000000088737,20250812,1
1000000088737,20250813,1
1000000088737,20250814,1
1000000088737,20250817,1
1000000088737,20250818,1
1000000088737,20250819,1
1000000088737,20250820,1
1000000088737,20250821,1
1000000088737,20250824,1
1000000088737,20250825,1
1000000088737,20250826,1
1000000088737,20250827,1
1000000088737,20250828,1
1000000088737,20250831,1
1000000088737,20250901,1
1000000088737,20250902,1
1000000088737,20250903,1
1000000088737,20250904,1
1000000088737,20250907,1
1000000088737,20250908,1
1000000088737,20250909,1
1000000088737,20250910,1
1000000088737,20250911,1
1000000088738,20250801,1
1000000088738,20250802,1
1000000088738,20250815,1
1000000088738,20250816,1
1000000088738,20250822,1
1000000088738,20250823,1
1000000088738,20250829,1
1000000088738,20250830,1
1000000088738,20250905,1
1000000088738,20250906,1
1000000088739,20250731,1
1000000088739,20250803,1
