stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding,stop_timezone,location_type,parent_station
CP16,CP16,"Mirti",,41.881043,12.566760,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CP17,CP17,"Gardenie",,41.886115,12.562108,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CP18,CP18,"Teano",,41.889483,12.551361,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CP19,CP19,"Malatesta",,41.887325,12.540216,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CP20,CP20,"Pigneto",,41.888342,12.528663,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CP21,CP21,"Lodi",,41.887055,12.518793,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CP22,CP22,"San Giovanni",,41.885615,12.509768,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD22,CD22,"San Giovanni",,41.885482,12.509785,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD21,CD21,"Lodi",,41.886935,12.518813,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD20,CD20,"Pigneto",,41.888252,12.528620,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD19,CD19,"Malatesta",,41.887224,12.540199,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD18,CD18,"Teano",,41.889320,12.551368,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD17,CD17,"Gardenie",,41.885981,12.562040,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD16,CD16,"Mirti",,41.881008,12.566553,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD15,CD15,"Parco Di Centocelle",,41.874464,12.568330,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD14,CD14,"Alessandrino",,41.870846,12.578947,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD13,CD13,"Torre Spaccata",,41.869102,12.586441,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD12,CD12,"Torre Maura",,41.866709,12.596861,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD11,CD11,"Giardinetti",,41.863955,12.610223,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD10,CD10,"Torrenova",,41.863186,12.616744,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD09,CD09,"Torre Angela",,41.864212,12.625523,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD08,CD08,"Torre Gaia",,41.864008,12.635612,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD07,CD07,"Grotte Celoni",,41.862804,12.646082,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD06,CD06,"Fontana Candida",,41.864788,12.658099,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD05,CD05,"Borghesiana",,41.864663,12.666590,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD04,CD04,"Bolognetta",,41.865090,12.681058,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD03,CD03,"Finocchio",,41.865402,12.687869,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD02,CD02,"Graniti",,41.865552,12.697878,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
CD01,CD01,"Pantano",,41.865449,12.707633,http://muovi.roma.it/percorso/js?query=&cl=1,,Europe/Rome,,
